"Date","Open","High","Low","Close","Volume","Change"
1995-01-02,188.22,189.41,187.52,189.31,0,0.65
1995-01-03,189.08,189.8,188.85,189.15,0,-0.0845174581374453
1995-01-04,189.76,190.15,188.9,189.4,0,0.132170235263018
1995-01-05,189.3,189.76,187.94,188.17,0,-0.649419218585012
1995-01-06,188.16,188.46,187.53,188.4,0,0.12222989849604
1995-01-09,188.64,188.78,187.83,188.12,0,-0.148619957537155
1995-01-10,187.55,187.66,186.48,187.39,0,-0.388050180735711
1995-01-11,187.05,187.42,186.32,186.84,0,-0.293505523240289
1995-01-12,187.28,187.4,186.03,186.24,0,-0.321130378933843
1995-01-13,186.68,187.51,186.11,187.24,0,0.536941580756012
1995-01-16,188.31,188.91,188.19,188.49,0,0.667592394787442
1995-01-17,188.68,189.11,187.68,187.82,0,-0.355456522892472
1995-01-18,187.64,188.14,187.19,188.07,0,0.133106165477592
1995-01-19,188.69,188.81,187.38,187.64,0,-0.228638272983472
1995-01-20,186.19,187.03,186.11,186.4,0,-0.660839906203359
1995-01-23,185.72,185.85,183.37,183.81,0,-1.38948497854078
1995-01-24,185.03,185.48,184.67,184.93,0,0.60932484630869
1995-01-25,185.04,185.2,183.96,184.73,0,-0.10814902936247
1995-01-26,185.44,186.46,185.44,186.38,0,0.89319547447626
1995-01-27,186.49,187.47,186.38,187.17,0,0.423865221590303
1995-01-30,187.38,187.38,186.6,186.89,0,-0.149596623390502
1995-01-31,186.09,186.44,185.1,185.19,0,-0.90962598319867
1995-02-01,185.97,186.48,185.68,186.21,0,0.550785679572341
1995-02-02,185.92,186.27,185.62,185.78,0,-0.230922077224638
1995-02-03,186.13,187.24,185.95,187.2,0,0.764344924103777
1995-02-06,188.16,188.62,187.53,187.6,0,0.213675213675213
1995-02-07,187.87,188.41,187.76,187.93,0,0.175906183368868
1995-02-08,187.68,187.72,187.07,187.65,0,-0.148991645825569
1995-02-09,187.61,188.82,187.4,188.17,0,0.277111644018113
1995-02-10,188.61,189.16,188.36,188.61,0,0.233831110166349
1995-02-13,188.72,188.79,187.84,188.21,0,-0.21207783256455
1995-02-14,188.47,188.47,187.41,187.85,0,-0.191275702672555
1995-02-15,187.86,187.91,187.28,187.53,0,-0.170348682459409
1995-02-16,187.87,188.1,186.01,186.09,0,-0.767877139657658
1995-02-17,185.9,186.89,185.43,186.48,0,0.209576011607271
1995-02-20,185.73,186.38,185.72,186.06,0,-0.225225225225223
1995-02-21,186.11,186.48,185.74,186.1,0,0.0214984413629882
1995-02-22,185.95,185.98,184.85,185.35,0,-0.403009134873722
1995-02-23,185.12,186.99,185.12,186.71,0,0.733746965200988
1995-02-24,186.06,186.62,185.98,186.32,0,-0.208880081409679
1995-02-27,184.67,185.95,184.56,185.78,0,-0.289823958780588
1995-02-28,185.73,186.38,184.72,185.03,0,-0.403703304984393
1995-03-01,184.93,185.9,184.74,185.36,0,0.178349456844851
1995-03-02,185.45,186.06,185.11,185.66,0,0.161847216227873
1995-03-03,185.25,185.53,183.89,184.05,0,-0.867176559301941
1995-03-06,182.76,183.18,181.25,182.47,0,-0.858462374354807
1995-03-07,182.65,182.74,180.58,180.94,0,-0.838493999013534
1995-03-08,179.12,179.74,178.37,179.69,0,-0.690836741461254
1995-03-09,181.02,181.22,177.85,178.21,0,-0.823640714563967
1995-03-10,178.59,178.75,177.29,178.64,0,0.241288367656134
1995-03-13,179.45,179.65,178.21,178.49,0,-0.0839677563815422
1995-03-14,178.4,179.75,178.4,179.16,0,0.375371169253169
1995-03-15,179.73,180.78,179.11,179.11,0,-0.0279080151819544
1995-03-16,179.22,179.66,178.13,178.35,0,-0.424320250125632
1995-03-17,179.17,179.79,178.25,178.25,0,-0.0560695262124988
1995-03-20,179.09,180.01,178.79,179.19,0,0.527349228611507
1995-03-21,179.94,180.07,178.29,178.96,0,-0.128355376974154
1995-03-22,178.99,179.27,178.13,178.27,0,-0.385561019222169
1995-03-23,178.17,178.21,174.84,176.22,0,-1.14994110057778
1995-03-24,176.88,177.5,174.81,177.46,0,0.703665872205206
1995-03-27,178.35,178.6,177.7,178.44,0,0.552237123858901
